Date,China Manufacturing PMI
2022-03-31,47.4
2022-03-31,49.5
2022-02-28,50.2
2022-01-31,50.1
2021-12-31,50.3
2021-11-30,50.1
2021-10-31,49.2
2021-09-30,49.6
2021-08-31,50.1
2021-07-31,50.4
2021-06-30,50.9
2021-05-31,51
2021-04-30,51.1
2021-03-31,51.9
2021-02-28,50.6
2021-01-31,51.3
2020-12-31,51.9
2020-11-30,52.1
2020-10-31,51.4
2020-09-30,51.5
2020-08-31,51
2020-07-31,51.1
2020-06-30,50.9
2020-05-31,50.6
2020-04-30,50.8
2020-03-31,52
2020-02-29,35.7
2020-01-31,50
2019-12-31,50.2
2019-11-30,50.2
2019-10-31,49.3
2019-09-30,49.8
2019-08-31,49.5
2019-07-31,49.7
2019-06-30,49.4
2019-05-31,49.4
2019-04-30,50.1
2019-03-31,50.5
2019-02-28,49.2
2019-01-31,49.5
2018-12-31,49.4
2018-11-30,50
2018-10-31,50.2
2018-09-30,50.8
2018-08-31,51.3
2018-07-31,51.2
2018-06-30,51.5
2018-05-31,51.9
2018-04-30,51.4
2018-03-31,51.5
2018-02-28,50.3
2018-01-31,51.3
2017-12-31,51.6
2017-11-30,51.8
2017-10-31,51.6
2017-09-30,52.4
2017-08-31,51.7
2017-07-31,51.4
2017-06-30,51.7
2017-05-31,51.2
2017-04-30,51.2
2017-03-31,51.8
2017-02-28,51.6
2017-01-31,51.3
2016-12-31,51.4
2016-11-30,51.7
2016-10-31,51.2
2016-09-30,50.4
2016-08-31,50.4
2016-07-31,49.9
2016-06-30,50
2016-05-31,50.1
2016-04-30,50.1
2016-03-31,50.2
2016-02-29,49
2016-01-31,49.4
2015-12-31,49.7
2015-11-30,49.6
2015-10-31,49.8
2015-09-30,49.8
2015-08-31,49.7
2015-07-31,50
2015-06-30,50.2
2015-05-31,50.2
2015-04-30,50.1
2015-03-31,50.1
2015-02-28,49.9
2015-01-31,49.8
2014-12-31,50.1
2014-11-30,50.3
2014-10-31,50.8
2014-09-30,51.1
2014-08-31,51.1
2014-07-31,51.7
2014-06-30,51
2014-05-31,50.8
2014-04-30,50.4
2014-03-31,50.3
2014-02-28,50.2
2014-01-31,50.5
2013-12-31,51
2013-11-30,51.4
2013-10-31,51.4
2013-09-30,51.1
2013-08-31,51
2013-07-31,50.3
2013-06-30,50.1
2013-05-31,50.8
2013-04-30,50.6
2013-03-31,50.9
2013-02-28,50.1
2013-01-31,50.4
2012-12-31,50.6
2012-11-30,50.6
2012-10-31,50.2
2012-09-30,49.8
2012-08-31,49.2
2012-07-31,50.1
2012-06-30,50.2
2012-05-31,50.4
2012-04-30,53.3
2012-03-31,53.1
2012-02-29,51
2012-01-31,50.5
2011-12-31,50.3
2011-11-30,49
2011-10-31,50.4
2011-09-30,51.2
2011-08-31,50.9
2011-07-31,50.7
2011-06-30,50.9
2011-05-31,52
2011-04-30,52.9
2011-03-31,53.4
2011-02-28,52.2
2011-01-31,52.9
2010-12-31,53.9
2010-11-30,55.2
2010-10-31,54.7
2010-09-30,53.8
2010-08-31,51.7
2010-07-31,51.2
2010-06-30,52.1
2010-05-31,53.9
2010-04-30,55.7
2010-03-31,55.1
2010-02-28,52
2010-01-31,55.8
2009-12-31,56.6
2009-11-30,55.2
2009-10-31,55.2
2009-09-30,54.3
2009-08-31,54
2009-07-31,53.3
2009-06-30,53.2
2009-05-31,53.1
2009-04-30,53.5
2009-03-31,52.4
2009-02-28,49
2009-01-31,45.3
2008-12-31,41.2
2008-11-30,38.8
2008-10-31,44.6
2008-09-30,51.2
2008-08-31,48.4
2008-07-31,48.4
2008-06-30,52
2008-05-31,53.3
2008-04-30,59.2
2008-03-31,58.4
2008-02-29,53.4
2008-01-31,53
2007-12-31,55.3
2007-11-30,55.4
2007-10-31,53.2
2007-09-30,56.1
2007-08-31,54
2007-07-31,53.3
2007-06-30,54.5
2007-05-31,55.7
2007-04-30,58.6
2007-03-31,56.1
2007-02-28,53.1
2007-01-31,55.1
2006-12-31,54.8
2006-11-30,55.3
2006-10-31,54.7
2006-09-30,57
2006-08-31,53.1
2006-07-31,52.4
2006-06-30,54.1
2006-05-31,54.8
2006-04-30,58.1
2006-03-31,55.3
2006-02-28,52.1
2006-01-31,52.1
2005-12-31,54.3
2005-11-30,54.1
2005-10-31,54.1
2005-09-30,55.1
2005-08-31,52.6
2005-07-31,51.1
2005-06-30,51.7
2005-05-31,52.9
2005-04-30,56.7
2005-03-31,57.9
2005-02-28,54.5
2005-01-31,54.7
