date,actual,forecast
2011-02-01 18:00:00,5.9,
2011-03-01 18:00:00,5.7,
2011-04-01 18:00:00,5.2,
2011-05-01 18:00:00,4.3,
2011-06-01 18:00:00,4.1,
2011-07-01 18:00:00,4.2,
2011-08-01 18:00:00,4.3,
2011-09-01 18:00:00,4.1,
2011-10-01 18:00:00,3.5,
2011-11-01 18:00:00,2.8,
2011-12-01 18:00:00,2.2,
2012-01-01 18:00:00,1.4,
2012-02-01 18:00:00,0.5,
2012-03-01 18:00:00,0.0,
2012-04-01 18:00:00,-0.7,
2012-05-18 11:00:00,-1.5,
2012-09-18 10:30:00,-1.4,
2012-10-18 10:30:00,-1.3,
2012-11-18 10:30:00,-1.1,
2012-12-18 10:30:00,-0.7,
2013-01-18 10:30:00,-0.04,
2013-02-22 10:30:00,0.8,
2013-03-18 10:30:00,2.1,
2013-04-18 10:30:00,3.6,
2013-05-18 10:30:00,4.9,
2013-06-18 11:00:00,6.0,
2013-07-18 10:30:00,6.8,
2013-08-18 10:30:00,7.5,
2013-09-18 10:30:00,8.3,
2013-10-22 11:00:00,9.1,
2013-11-18 10:30:00,9.6,
2013-12-18 10:30:00,9.9,
2014-01-18 10:30:00,9.9,
2014-02-24 10:30:00,9.6,
2014-03-18 10:30:00,8.7,
2014-04-18 10:30:00,7.7,
2014-05-18 10:30:00,6.7,
2014-06-18 10:30:00,5.6,
2014-07-18 10:30:00,4.2,
2014-08-18 10:30:00,2.5,
2014-09-18 10:30:00,0.5,2.3
2014-10-24 10:30:00,-1.3,
2014-11-18 10:30:00,-2.6,
2014-12-18 10:30:00,-3.7,
2015-01-18 10:30:00,-4.3,
2015-02-17 10:30:00,-5.1,
2015-03-18 10:30:00,-5.7,
2015-04-18 10:30:00,-6.1,
2015-05-18 10:30:00,-6.1,
2015-06-18 10:30:00,-5.7,
2015-07-18 10:30:00,-4.9,
2015-08-18 10:30:00,-3.7,
2015-09-18 10:30:00,-2.3,
2015-10-23 10:30:00,-0.9,
2015-11-18 10:30:00,0.1,
2015-12-18 10:30:00,0.9,
2016-01-18 10:30:00,1.6,
2016-02-26 10:30:00,2.5,
2016-03-18 10:30:00,3.6,2.5
2016-04-18 10:30:00,4.9,
2016-05-18 10:30:00,6.2,
2016-06-18 10:30:00,6.9,
2016-07-18 10:30:00,7.3,
2016-08-18 10:30:00,7.9,
2016-09-19 10:30:00,9.2,
2016-10-21 10:30:00,11.2,
2016-11-18 10:30:00,12.3,
2016-12-19 10:30:00,12.6,
2017-01-18 10:30:00,12.4,
2017-02-22 10:30:00,12.2,
2017-03-18 10:30:00,11.8,
2017-04-18 10:30:00,11.3,
2017-05-18 10:30:00,10.7,
2017-06-19 10:30:00,10.4,
2017-07-18 10:30:00,10.2,
2017-08-18 10:30:00,9.7,
2017-09-18 10:30:00,8.3,
2017-10-23 10:30:00,6.3,
2017-11-18 10:30:00,5.4,
2017-12-18 10:30:00,5.1,
2018-01-18 10:30:00,5.3,
2018-02-24 10:30:00,5.0,
2018-03-19 10:30:00,5.2,
2018-04-18 10:30:00,4.9,
2018-05-16 10:30:00,4.7,
2018-06-15 10:30:00,4.7,
2018-07-17 10:30:00,5.0,
2018-08-15 10:30:00,5.8,
2018-09-15 10:30:00,7.0,
2018-10-20 10:30:00,7.9,
2018-11-15 10:30:00,8.6,
2018-12-15 10:30:00,9.3,
2019-01-16 10:30:00,9.7,
2019-02-22 10:30:00,10.0,
2019-03-15 10:30:00,10.4,
2019-04-16 10:30:00,10.6,
2019-05-16 10:30:00,10.7,
2019-06-18 10:30:00,10.7,
2019-07-15 10:30:00,10.3,
2019-08-15 10:30:00,9.7,
2019-09-17 10:30:00,8.8,
2019-10-21 10:30:00,8.4,
2019-11-15 10:30:00,7.8,
2019-12-16 10:30:00,7.1,
2020-01-16 10:30:00,6.6,
2020-02-17 10:30:00,6.3,
2020-03-16 10:30:00,5.8,
2020-04-16 10:30:00,5.3,
2020-05-18 10:30:00,5.1,
2020-06-15 10:30:00,4.9,
2020-07-16 10:30:00,4.9,
2020-08-14 10:30:00,4.8,
2020-09-14 10:30:00,4.8,
2020-10-20 10:30:00,4.6,
2020-11-16 10:30:00,4.3,
2020-12-14 10:30:00,4.0,
2021-01-15 10:30:00,3.8,
2021-02-23 10:30:00,3.9,
2021-03-15 10:30:00,4.3,
2021-04-16 10:30:00,4.6,
2021-05-17 10:30:00,4.8,
2021-06-17 10:30:00,4.9,
2021-07-15 10:30:00,4.7,
2021-08-16 10:30:00,4.6,
2021-09-15 10:30:00,4.2,
2021-10-20 10:30:00,3.8,
2021-11-15 10:30:00,3.4,
2021-12-15 10:30:00,3.0,
2022-01-15 10:30:00,2.6,
2022-02-21 10:30:00,2.3,
2022-03-16 10:30:00,2.0,
2022-04-15 10:30:00,1.5,
2022-05-18 10:30:00,0.7,
2022-06-16 10:30:00,-0.1,
2022-07-15 10:30:00,-0.5,
2022-08-15 10:30:00,-0.9,
