Date,Open,High,Low,Close
2010-06-30,19,19,19,19
2010-07-30,19.05,19.05,19.05,19.05
2010-08-31,19.09,19.09,19.09,19.09
2010-09-30,19.1,19.1,19.1,19.1
2010-10-29,19.19,19.19,19.19,19.19
2010-11-30,19.19,19.19,19.19,19.19
2010-12-31,19.24,19.24,19.24,19.24
2011-01-31,19.33,19.33,19.33,19.33
2011-02-28,19.33,19.33,19.33,19.33
2011-03-31,19.3,19.3,19.3,19.3
2011-04-29,19.37,19.37,19.37,19.37
2011-05-31,19.42,19.42,19.42,19.42
2011-06-30,19.44,19.44,19.44,19.44
2011-07-29,19.49,19.49,19.49,19.49
2011-08-31,19.49,19.49,19.49,19.49
2011-09-30,19.5,19.5,19.5,19.5
2011-10-31,19.52,19.52,19.52,19.52
2011-11-30,19.54,19.54,19.54,19.54
2011-12-30,19.6,19.6,19.6,19.6
2012-01-31,19.61,19.61,19.61,19.61
2012-02-29,19.65,19.65,19.65,19.65
2012-03-30,19.69,19.69,19.69,19.69
2012-04-30,19.71,19.71,19.71,19.71
2012-05-31,19.69,19.69,19.69,19.69
2012-06-29,19.75,19.75,19.75,19.75
2012-07-31,19.76,19.76,19.76,19.76
2012-08-31,19.76,19.76,19.76,19.76
2012-09-28,19.8,19.8,19.8,19.8
2012-10-31,19.81,19.81,19.81,19.81
2012-11-30,19.86,19.86,19.86,19.86
2012-12-31,19.92,19.92,19.92,19.92
2013-01-31,19.99,19.99,19.99,19.99
2013-02-28,20.04,20.04,20.04,20.04
2013-03-29,20.04,20.04,20.04,20.04
2013-04-30,23.88,23.88,23.88,23.88
2013-05-31,23.91,23.91,23.91,23.91
2013-06-28,24,24,24,24
2013-07-31,24,24,24,24
2013-08-30,24.06,24.06,24.06,24.06
2013-09-30,24.08,24.08,24.08,24.08
2013-10-31,24.11,24.11,24.11,24.11
2013-11-29,24.15,24.15,24.15,24.15
2013-12-31,24.16,24.16,24.16,24.16
2014-01-31,24.22,24.22,24.22,24.22
2014-02-28,24.31,24.31,24.31,24.31
2014-03-31,24.31,24.31,24.31,24.31
2014-04-30,24.33,24.33,24.33,24.33
2014-05-30,24.39,24.39,24.39,24.39
2014-06-30,24.45,24.45,24.45,24.45
2014-07-31,24.47,24.47,24.47,24.47
2014-08-29,25.54,25.54,25.54,25.54
2014-09-30,24.54,24.54,24.54,24.54
2014-10-31,24.57,24.57,24.57,24.57
2014-11-28,24.62,24.62,24.62,24.62
2014-12-31,24.63,24.63,24.63,24.63
2015-01-30,24.75,24.75,24.75,24.75
2015-02-27,24.79,24.79,24.79,24.79
2015-03-31,24.84,24.84,24.84,24.84
2015-04-30,24.88,24.88,24.88,24.88
2015-05-29,24.95,24.95,24.95,24.95
2015-06-30,24.94,24.94,24.94,24.94
2015-07-31,25.01,25.01,25.01,25.01
2015-08-31,25.1,25.1,25.1,25.1
2015-09-30,25.11,25.11,25.11,25.11
2015-10-30,25.21,25.21,25.21,25.21
2015-11-30,25.25,25.25,25.25,25.25
2015-12-31,25.27,25.27,25.27,25.27
2016-01-29,25.38,25.38,25.38,25.38
2016-02-29,25.36,25.36,25.36,25.36
2016-03-31,25.45,25.45,25.45,25.45
2016-04-29,25.54,25.54,25.54,25.54
2016-05-31,25.59,25.59,25.59,25.59
2016-06-30,25.61,25.61,25.61,25.61
2016-07-29,25.7,25.7,25.7,25.7
2016-08-31,25.73,25.73,25.73,25.73
2016-09-30,25.82,25.82,25.82,25.82
2016-10-31,25.92,25.92,25.92,25.92
2016-11-30,25.9,25.9,25.9,25.9
2016-12-30,25.97,25.97,25.97,25.97
2017-01-31,26.03,26.03,26.03,26.03
2017-02-28,26.09,26.09,26.09,26.09
2017-03-31,26.12,26.12,26.12,26.12
2017-04-28,26.18,26.18,26.18,26.18
2017-05-31,26.21,26.21,26.21,26.21
2017-06-30,26.27,26.27,26.27,26.27
2017-07-31,26.36,26.36,26.36,26.36
2017-08-31,26.43,26.43,26.43,26.43
2017-09-29,26.54,26.54,26.54,26.54
2017-10-31,26.5,26.5,26.5,26.5
2017-11-30,26.54,26.54,26.54,26.54
2017-12-29,26.65,26.65,26.65,26.65
2018-01-31,26.71,26.71,26.71,26.71
2018-02-28,26.74,26.74,26.74,26.74
2018-03-30,26.8,26.8,26.8,26.8
2018-04-30,26.84,26.84,26.84,26.84
2018-05-31,26.93,26.93,26.93,26.93
2018-06-29,26.98,26.98,26.98,26.98
2018-07-31,27.06,27.06,27.06,27.06
2018-08-31,27.16,27.16,27.16,27.16
2018-09-28,27.25,27.25,27.25,27.25
2018-10-31,27.29,27.29,27.29,27.29
2018-11-30,27.37,27.37,27.37,27.37
2018-12-31,27.53,27.53,27.53,27.53
2019-01-31,27.55,27.55,27.55,27.55
2019-02-28,27.66,27.66,27.66,27.66
2019-03-29,27.71,27.71,27.71,27.71
2019-04-30,27.77,27.77,27.77,27.77
2019-05-31,27.84,27.84,27.84,27.84
2019-06-28,27.9,27.9,27.9,27.9
2019-07-31,28,28,28,28
2019-08-30,28.1,28.1,28.1,28.1
2019-09-30,28.12,28.12,28.12,28.12
2019-10-31,28.22,28.22,28.22,28.22
2019-11-29,28.29,28.29,28.29,28.29
2019-12-31,28.37,28.37,28.37,28.37
2020-01-31,28.43,28.43,28.43,28.43
2020-02-28,28.51,28.51,28.51,28.51
2020-03-31,28.67,28.67,28.67,28.67
2020-04-30,30.01,30.01,30.01,30.01
2020-05-29,29.72,29.72,29.72,29.72
2020-06-30,29.32,29.32,29.32,29.32
2020-07-31,29.36,29.36,29.36,29.36
2020-08-31,29.45,29.45,29.45,29.45
2020-09-30,29.46,29.46,29.46,29.46
2020-10-30,29.49,29.49,29.49,29.49
2020-11-30,29.58,29.58,29.58,29.58
2020-12-31,29.9,29.9,29.9,29.9
2021-01-29,29.94,29.94,29.94,29.94
2021-02-26,30,30,30,30
2021-03-31,29.96,29.96,29.96,29.96
2021-04-30,30.18,30.18,30.18,30.18
2021-05-31,30.3,30.3,30.3,30.3
2021-06-30,30.43,30.43,30.43,30.43
2021-07-30,30.56,30.56,30.56,30.56
2021-08-31,30.66,30.66,30.66,30.66
2021-09-30,30.85,30.85,30.85,30.85
2021-10-29,30.95,30.95,30.95,30.95
2021-11-30,31.12,31.12,31.12,31.12
2021-12-31,31.4,31.4,31.4,31.4
2022-01-31,31.57,31.57,31.57,31.57
2022-02-28,31.6,31.6,31.6,31.6
2022-03-31,31.75,31.75,31.75,31.75
2022-04-29,31.85,31.85,31.85,31.85
2022-05-31,31.98,31.98,31.98,31.98
2022-06-30,32.12,32.12,32.12,32.12
2022-07-29,32.27,32.27,32.27,32.27
