date,actual
2022- 11- 1,113.5
2022- 10- 1,114.7
2022- 9- 1,115.8
2022- 8- 1,116.4
2022- 7- 1,116.5
2022- 6- 1,117.1
2022- 5- 1,117.9
2022- 4- 1,118.7
2022- 3- 1,119.3
2022- 2- 1,119.4
2022- 1- 1,118.5
2021- 12- 1,119.3
2021- 11- 1,118.8
2021- 10- 1,118.1
2021- 9- 1,117.6
2021- 8- 1,117.4
2021- 7- 1,116.6
2021- 6- 1,115.5
2021- 5- 1,114.8
2021- 4- 1,113.8
2021- 3- 1,112.6
2021- 2- 1,111.4
2021- 1- 1,111.5
2020- 12- 1,110.8
2020- 11- 1,110.1
2020- 10- 1,109.3
2020- 9- 1,108.6
2020- 8- 1,108
2020- 7- 1,107.1
2020- 6- 1,105.3
2020- 5- 1,103
2020- 4- 1,101.3
2020- 3- 1,107
2020- 2- 1,112.4
2020- 1- 1,112.5
2019- 12- 1,112
2019- 11- 1,112.2
2019- 10- 1,112.1
2019- 9- 1,112.5
2019- 8- 1,112.8
2019- 7- 1,113.1
2019- 6- 1,112.9
2019- 5- 1,112.9
2019- 4- 1,112.9
2019- 3- 1,112.7
2019- 2- 1,112.4
2019- 1- 1,112.2
2018- 12- 1,112.5
2018- 11- 1,112.5
2018- 10- 1,112.5
2018- 9- 1,112.4
2018- 8- 1,111.8
2018- 7- 1,111.5
2018- 6- 1,111
2018- 5- 1,110.2
2018- 4- 1,109.8
2018- 3- 1,109.3
2018- 2- 1,108.7
2018- 1- 1,108
2017- 12- 1,107.1
2017- 11- 1,106.4
2017- 10- 1,105.8
2017- 9- 1,104.8
2017- 8- 1,104.4
2017- 7- 1,104
2017- 6- 1,103.7
2017- 5- 1,103.1
2017- 4- 1,102.7
2017- 3- 1,102.4
2017- 2- 1,101.9
2017- 1- 1,101.5
2016- 12- 1,100.8
2016- 11- 1,100.3
2016- 10- 1,100.2
2016- 9- 1,100.3
2016- 8- 1,100.2
2016- 7- 1,100.1
2016- 6- 1,99.9
2016- 5- 1,99.7
2016- 4- 1,99.8
2016- 3- 1,99.5
2016- 2- 1,99.5
2016- 1- 1,99.6
2015- 12- 1,100.2
2015- 11- 1,100.3
2015- 10- 1,99.9
2015- 9- 1,99.7
2015- 8- 1,99.8
2015- 7- 1,99.8
2015- 6- 1,100.3
2015- 5- 1,99.7
2015- 4- 1,99.4
2015- 3- 1,99
2015- 2- 1,98.8
2015- 1- 1,98.5
2014- 12- 1,98.6
2014- 11- 1,97.9
2014- 10- 1,97.6
2014- 9- 1,97.5
2014- 8- 1,96.8
2014- 7- 1,96.7
2014- 6- 1,96.2
2014- 5- 1,95.4
2014- 4- 1,95
2014- 3- 1,94.9
2014- 2- 1,94
2014- 1- 1,93.3
2013- 12- 1,93.2
2013- 11- 1,93
2013- 10- 1,92.3
2013- 9- 1,92.1
2013- 8- 1,91.4
2013- 7- 1,90.9
2013- 6- 1,90.6
2013- 5- 1,90.6
2013- 4- 1,90.3
